Region_name_en,Region_Name_fr,Week_Number,Begin_of_Week_Date,End_of_Week_Date,Activity_Level,PR_HRUID
Region 7,Région de santé publique 7,202351,2023-12-17,2023-12-23,3,1307
Nord-est,Nord-est,202351,2023-12-17,2023-12-23,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202351,2023-12-17,2023-12-23,2,2412
Centre-du-Québec,Centre-du-Québec,202351,2023-12-17,2023-12-23,2,2404
Montréal et Laval,Montréal et Laval,202351,2023-12-17,2023-12-23,2,2413
Ouest-du-Québec,Ouest-du-Québec,202351,2023-12-17,2023-12-23,2,2414
Montérégie,Montérégie,202351,2023-12-17,2023-12-23,2,2416
Central East,Centre-Est,202351,2023-12-17,2023-12-23,3,3570
Central West,Centre-Ouest,202351,2023-12-17,2023-12-23,3,3527
Eastern,Est,202351,2023-12-17,2023-12-23,3,3551
North East,Nord-Est,202351,2023-12-17,2023-12-23,3,3547
North West,Nord-Ouest,202351,2023-12-17,2023-12-23,3,3549
South West,Sud-Ouest,202351,2023-12-17,2023-12-23,3,3531
Toronto,Toronto,202351,2023-12-17,2023-12-23,3,3595
North,Nord,202351,2023-12-17,2023-12-23,3,4708
Central,Centre,202351,2023-12-17,2023-12-23,3,4705
South,Sud,202351,2023-12-17,2023-12-23,3,4701
North Zone,Du nord,202351,2023-12-17,2023-12-23,4,4835
Edmonton,Edmonton,202351,2023-12-17,2023-12-23,3,4834
Central Zone,Centre,202351,2023-12-17,2023-12-23,4,4833
Calgary,Calgary,202351,2023-12-17,2023-12-23,3,4832
South Zone,Du sud,202351,2023-12-17,2023-12-23,4,4831
Interior,Intérieur,202351,2023-12-17,2023-12-23,2,5911
Fraser,Fraser,202351,2023-12-17,2023-12-23,4,5921
Vancouver Coastal,Vancouver Coastal,202351,2023-12-17,2023-12-23,2,5931
Vancouver Island,Île de Vancouver,202351,2023-12-17,2023-12-23,3,5941
Northern,Nord,202351,2023-12-17,2023-12-23,2,5951
Yukon,Yukon,202351,2023-12-17,2023-12-23,2,6001
North,Région nord des TNO,202351,2023-12-17,2023-12-23,2,6101
South,Région sud des TNO,202351,2023-12-17,2023-12-23,2,6103
Qikiqtaaluk,Qikiqtaaluk,202351,2023-12-17,2023-12-23,2,6204
Kivalliq,Kivalliq,202351,2023-12-17,2023-12-23,2,6205
Kitimeot,Kitimeot,202351,2023-12-17,2023-12-23,2,6208
Eastern,Est,202352,2023-12-24,2023-12-30,3,1011
Labrador-Grenfell,Grenfell Labrador,202352,2023-12-24,2023-12-30,2,1014
Central,Centre,202352,2023-12-24,2023-12-30,2,1012
Western,Ouest,202352,2023-12-24,2023-12-30,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202352,2023-12-24,2023-12-30,2,1103
Zone 1 - Western,Zone 1 - Ouest,202352,2023-12-24,2023-12-30,3,1211
Zone 2 - Northern,Zone 2 - Nord,202352,2023-12-24,2023-12-30,3,1234
Zone 3 - Eastern,Zone 3 - Est,202352,2023-12-24,2023-12-30,2,1247
Zone 4 - Central,Zone 4 - Centrale,202352,2023-12-24,2023-12-30,2,1269
Region 1,Région de santé publique 1,202352,2023-12-24,2023-12-30,3,1301
Region 2,Région de santé publique 2,202352,2023-12-24,2023-12-30,3,1302
Region 3,Région de santé publique 3,202352,2023-12-24,2023-12-30,2,1303
Region 4,Région de santé publique 4,202352,2023-12-24,2023-12-30,2,1304
Region 5,Région de santé publique 5,202352,2023-12-24,2023-12-30,2,1305
Region 6,Région de santé publique 6,202352,2023-12-24,2023-12-30,3,1306
Region 7,Région de santé publique 7,202352,2023-12-24,2023-12-30,3,1307
Nord-est,Nord-est,202352,2023-12-24,2023-12-30,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202352,2023-12-24,2023-12-30,2,2412
Centre-du-Québec,Centre-du-Québec,202352,2023-12-24,2023-12-30,2,2404
Montréal et Laval,Montréal et Laval,202352,2023-12-24,2023-12-30,2,2413
Ouest-du-Québec,Ouest-du-Québec,202352,2023-12-24,2023-12-30,2,2414
Montérégie,Montérégie,202352,2023-12-24,2023-12-30,2,2416
Central East,Centre-Est,202352,2023-12-24,2023-12-30,3,3570
Central West,Centre-Ouest,202352,2023-12-24,2023-12-30,3,3527
Eastern,Est,202352,2023-12-24,2023-12-30,3,3551
North East,Nord-Est,202352,2023-12-24,2023-12-30,3,3547
North West,Nord-Ouest,202352,2023-12-24,2023-12-30,3,3549
South West,Sud-Ouest,202352,2023-12-24,2023-12-30,3,3531
Toronto,Toronto,202352,2023-12-24,2023-12-30,3,3595
North,Nord,202352,2023-12-24,2023-12-30,3,4708
Central,Centre,202352,2023-12-24,2023-12-30,3,4705
South,Sud,202352,2023-12-24,2023-12-30,3,4701
North Zone,Du nord,202352,2023-12-24,2023-12-30,4,4835
Edmonton,Edmonton,202352,2023-12-24,2023-12-30,3,4834
Central Zone,Centre,202352,2023-12-24,2023-12-30,4,4833
Calgary,Calgary,202352,2023-12-24,2023-12-30,3,4832
South Zone,Du sud,202352,2023-12-24,2023-12-30,4,4831
Interior,Intérieur,202352,2023-12-24,2023-12-30,3,5911
Fraser,Fraser,202352,2023-12-24,2023-12-30,4,5921
Vancouver Coastal,Vancouver Coastal,202352,2023-12-24,2023-12-30,4,5931
Vancouver Island,Île de Vancouver,202352,2023-12-24,2023-12-30,2,5941
Northern,Nord,202352,2023-12-24,2023-12-30,2,5951
Yukon,Yukon,202352,2023-12-24,2023-12-30,2,6001
North,Région nord des TNO,202352,2023-12-24,2023-12-30,2,6101
South,Région sud des TNO,202352,2023-12-24,2023-12-30,2,6103
Qikiqtaaluk,Qikiqtaaluk,202352,2023-12-24,2023-12-30,2,6204
Kivalliq,Kivalliq,202352,2023-12-24,2023-12-30,2,6205
Kitimeot,Kitimeot,202352,2023-12-24,2023-12-30,2,6208
Eastern,Est,202401,2023-12-31,2024-01-06,3,1011
Labrador-Grenfell,Grenfell Labrador,202401,2023-12-31,2024-01-06,2,1014
Central,Centre,202401,2023-12-31,2024-01-06,3,1012
Western,Ouest,202401,2023-12-31,2024-01-06,3,1013
Prince Edward Island,Île-du-Prince-Édouard,202401,2023-12-31,2024-01-06,4,1103
Zone 1 - Western,Zone 1 - Ouest,202401,2023-12-31,2024-01-06,3,1211
Zone 2 - Northern,Zone 2 - Nord,202401,2023-12-31,2024-01-06,3,1234
Zone 3 - Eastern,Zone 3 - Est,202401,2023-12-31,2024-01-06,2,1247
Zone 4 - Central,Zone 4 - Centrale,202401,2023-12-31,2024-01-06,2,1269
Region 1,Région de santé publique 1,202401,2023-12-31,2024-01-06,3,1301
Region 2,Région de santé publique 2,202401,2023-12-31,2024-01-06,3,1302
Region 3,Région de santé publique 3,202401,2023-12-31,2024-01-06,3,1303
Region 4,Région de santé publique 4,202401,2023-12-31,2024-01-06,3,1304
Region 5,Région de santé publique 5,202401,2023-12-31,2024-01-06,2,1305
Region 6,Région de santé publique 6,202401,2023-12-31,2024-01-06,3,1306
Region 7,Région de santé publique 7,202401,2023-12-31,2024-01-06,2,1307
Nord-est,Nord-est,202401,2023-12-31,2024-01-06,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202401,2023-12-31,2024-01-06,2,2412
Centre-du-Québec,Centre-du-Québec,202401,2023-12-31,2024-01-06,2,2404
Montréal et Laval,Montréal et Laval,202401,2023-12-31,2024-01-06,2,2413
Ouest-du-Québec,Ouest-du-Québec,202401,2023-12-31,2024-01-06,2,2414
Montérégie,Montérégie,202401,2023-12-31,2024-01-06,2,2416
Central East,Centre-Est,202401,2023-12-31,2024-01-06,3,3570
Central West,Centre-Ouest,202401,2023-12-31,2024-01-06,3,3527
Eastern,Est,202401,2023-12-31,2024-01-06,3,3551
North East,Nord-Est,202401,2023-12-31,2024-01-06,3,3547
North West,Nord-Ouest,202401,2023-12-31,2024-01-06,3,3549
South West,Sud-Ouest,202401,2023-12-31,2024-01-06,3,3531
Toronto,Toronto,202401,2023-12-31,2024-01-06,3,3595
North,Nord,202401,2023-12-31,2024-01-06,2,4708
Central,Centre,202401,2023-12-31,2024-01-06,2,4705
South,Sud,202401,2023-12-31,2024-01-06,3,4701
North Zone,Du nord,202401,2023-12-31,2024-01-06,3,4835
Edmonton,Edmonton,202401,2023-12-31,2024-01-06,3,4834
Central Zone,Centre,202401,2023-12-31,2024-01-06,3,4833
Calgary,Calgary,202401,2023-12-31,2024-01-06,3,4832
South Zone,Du sud,202401,2023-12-31,2024-01-06,3,4831
Interior,Intérieur,202401,2023-12-31,2024-01-06,3,5911
Fraser,Fraser,202401,2023-12-31,2024-01-06,4,5921
Vancouver Coastal,Vancouver Coastal,202401,2023-12-31,2024-01-06,4,5931
Vancouver Island,Île de Vancouver,202401,2023-12-31,2024-01-06,3,5941
Northern,Nord,202401,2023-12-31,2024-01-06,3,5951
Yukon,Yukon,202401,2023-12-31,2024-01-06,2,6001
North,Région nord des TNO,202401,2023-12-31,2024-01-06,2,6101
South,Région sud des TNO,202401,2023-12-31,2024-01-06,2,6103
Qikiqtaaluk,Qikiqtaaluk,202401,2023-12-31,2024-01-06,2,6204
Kivalliq,Kivalliq,202401,2023-12-31,2024-01-06,2,6205
Kitimeot,Kitimeot,202401,2023-12-31,2024-01-06,1,6208
Eastern,Est,202402,2024-01-07,2024-01-13,3,1011
Labrador-Grenfell,Grenfell Labrador,202402,2024-01-07,2024-01-13,2,1014
Central,Centre,202402,2024-01-07,2024-01-13,2,1012
Western,Ouest,202402,2024-01-07,2024-01-13,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202402,2024-01-07,2024-01-13,3,1103
Zone 1 - Western,Zone 1 - Ouest,202402,2024-01-07,2024-01-13,3,1211
Zone 2 - Northern,Zone 2 - Nord,202402,2024-01-07,2024-01-13,3,1234
Zone 3 - Eastern,Zone 3 - Est,202402,2024-01-07,2024-01-13,2,1247
Zone 4 - Central,Zone 4 - Centrale,202402,2024-01-07,2024-01-13,2,1269
Region 1,Région de santé publique 1,202402,2024-01-07,2024-01-13,3,1301
Region 2,Région de santé publique 2,202402,2024-01-07,2024-01-13,3,1302
Region 3,Région de santé publique 3,202402,2024-01-07,2024-01-13,3,1303
Region 4,Région de santé publique 4,202402,2024-01-07,2024-01-13,2,1304
Region 5,Région de santé publique 5,202402,2024-01-07,2024-01-13,2,1305
Region 6,Région de santé publique 6,202402,2024-01-07,2024-01-13,3,1306
Region 7,Région de santé publique 7,202402,2024-01-07,2024-01-13,3,1307
Nord-est,Nord-est,202402,2024-01-07,2024-01-13,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202402,2024-01-07,2024-01-13,2,2412
Centre-du-Québec,Centre-du-Québec,202402,2024-01-07,2024-01-13,2,2404
Montréal et Laval,Montréal et Laval,202402,2024-01-07,2024-01-13,2,2413
Ouest-du-Québec,Ouest-du-Québec,202402,2024-01-07,2024-01-13,2,2414
Montérégie,Montérégie,202402,2024-01-07,2024-01-13,2,2416
Central East,Centre-Est,202402,2024-01-07,2024-01-13,3,3570
Central West,Centre-Ouest,202402,2024-01-07,2024-01-13,3,3527
Eastern,Est,202402,2024-01-07,2024-01-13,3,3551
North East,Nord-Est,202402,2024-01-07,2024-01-13,3,3547
North West,Nord-Ouest,202402,2024-01-07,2024-01-13,3,3549
South West,Sud-Ouest,202402,2024-01-07,2024-01-13,3,3531
Toronto,Toronto,202402,2024-01-07,2024-01-13,3,3595
North,Nord,202402,2024-01-07,2024-01-13,2,4708
Central,Centre,202402,2024-01-07,2024-01-13,2,4705
South,Sud,202402,2024-01-07,2024-01-13,3,4701
North Zone,Du nord,202402,2024-01-07,2024-01-13,3,4835
Edmonton,Edmonton,202402,2024-01-07,2024-01-13,3,4834
Central Zone,Centre,202402,2024-01-07,2024-01-13,3,4833
Calgary,Calgary,202402,2024-01-07,2024-01-13,3,4832
South Zone,Du sud,202402,2024-01-07,2024-01-13,3,4831
Interior,Intérieur,202402,2024-01-07,2024-01-13,2,5911
Fraser,Fraser,202402,2024-01-07,2024-01-13,4,5921
Vancouver Coastal,Vancouver Coastal,202402,2024-01-07,2024-01-13,3,5931
Vancouver Island,Île de Vancouver,202402,2024-01-07,2024-01-13,4,5941
Northern,Nord,202402,2024-01-07,2024-01-13,3,5951
Yukon,Yukon,202402,2024-01-07,2024-01-13,2,6001
North,Région nord des TNO,202402,2024-01-07,2024-01-13,2,6101
South,Région sud des TNO,202402,2024-01-07,2024-01-13,2,6103
Qikiqtaaluk,Qikiqtaaluk,202402,2024-01-07,2024-01-13,2,6204
Kivalliq,Kivalliq,202402,2024-01-07,2024-01-13,2,6205
Kitimeot,Kitimeot,202402,2024-01-07,2024-01-13,1,6208
Eastern,Est,202403,2024-01-14,2024-01-20,3,1011
Labrador-Grenfell,Grenfell Labrador,202403,2024-01-14,2024-01-20,2,1014
Central,Centre,202403,2024-01-14,2024-01-20,2,1012
Western,Ouest,202403,2024-01-14,2024-01-20,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202403,2024-01-14,2024-01-20,3,1103
Zone 1 - Western,Zone 1 - Ouest,202403,2024-01-14,2024-01-20,3,1211
Zone 2 - Northern,Zone 2 - Nord,202403,2024-01-14,2024-01-20,3,1234
Zone 3 - Eastern,Zone 3 - Est,202403,2024-01-14,2024-01-20,2,1247
Zone 4 - Central,Zone 4 - Centrale,202403,2024-01-14,2024-01-20,2,1269
Region 1,Région de santé publique 1,202403,2024-01-14,2024-01-20,3,1301
Region 2,Région de santé publique 2,202403,2024-01-14,2024-01-20,3,1302
Region 3,Région de santé publique 3,202403,2024-01-14,2024-01-20,3,1303
Region 4,Région de santé publique 4,202403,2024-01-14,2024-01-20,2,1304
Region 5,Région de santé publique 5,202403,2024-01-14,2024-01-20,2,1305
Region 6,Région de santé publique 6,202403,2024-01-14,2024-01-20,2,1306
Region 7,Région de santé publique 7,202403,2024-01-14,2024-01-20,3,1307
Nord-est,Nord-est,202403,2024-01-14,2024-01-20,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202403,2024-01-14,2024-01-20,2,2412
Centre-du-Québec,Centre-du-Québec,202403,2024-01-14,2024-01-20,2,2404
Montréal et Laval,Montréal et Laval,202403,2024-01-14,2024-01-20,2,2413
Ouest-du-Québec,Ouest-du-Québec,202403,2024-01-14,2024-01-20,2,2414
Montérégie,Montérégie,202403,2024-01-14,2024-01-20,2,2416
Central East,Centre-Est,202403,2024-01-14,2024-01-20,3,3570
Central West,Centre-Ouest,202403,2024-01-14,2024-01-20,3,3527
Eastern,Est,202403,2024-01-14,2024-01-20,4,3551
North East,Nord-Est,202403,2024-01-14,2024-01-20,3,3547
North West,Nord-Ouest,202403,2024-01-14,2024-01-20,3,3549
South West,Sud-Ouest,202403,2024-01-14,2024-01-20,3,3531
Toronto,Toronto,202403,2024-01-14,2024-01-20,3,3595
North,Nord,202403,2024-01-14,2024-01-20,2,4708
Central,Centre,202403,2024-01-14,2024-01-20,2,4705
South,Sud,202403,2024-01-14,2024-01-20,3,4701
North Zone,Du nord,202403,2024-01-14,2024-01-20,2,4835
Edmonton,Edmonton,202403,2024-01-14,2024-01-20,3,4834
Central Zone,Centre,202403,2024-01-14,2024-01-20,2,4833
Calgary,Calgary,202403,2024-01-14,2024-01-20,3,4832
South Zone,Du sud,202403,2024-01-14,2024-01-20,3,4831
Interior,Intérieur,202403,2024-01-14,2024-01-20,2,5911
Fraser,Fraser,202403,2024-01-14,2024-01-20,3,5921
Vancouver Coastal,Vancouver Coastal,202403,2024-01-14,2024-01-20,4,5931
Vancouver Island,Île de Vancouver,202403,2024-01-14,2024-01-20,3,5941
Northern,Nord,202403,2024-01-14,2024-01-20,2,5951
Yukon,Yukon,202403,2024-01-14,2024-01-20,2,6001
North,Région nord des TNO,202403,2024-01-14,2024-01-20,2,6101
South,Région sud des TNO,202403,2024-01-14,2024-01-20,1,6103
Qikiqtaaluk,Qikiqtaaluk,202403,2024-01-14,2024-01-20,2,6204
Kivalliq,Kivalliq,202403,2024-01-14,2024-01-20,1,6205
Kitimeot,Kitimeot,202403,2024-01-14,2024-01-20,2,6208
Eastern,Est,202404,2024-01-21,2024-01-27,3,1011
Labrador-Grenfell,Grenfell Labrador,202404,2024-01-21,2024-01-27,2,1014
Central,Centre,202404,2024-01-21,2024-01-27,2,1012
Western,Ouest,202404,2024-01-21,2024-01-27,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202404,2024-01-21,2024-01-27,3,1103
Zone 1 - Western,Zone 1 - Ouest,202404,2024-01-21,2024-01-27,3,1211
Zone 2 - Northern,Zone 2 - Nord,202404,2024-01-21,2024-01-27,3,1234
Zone 3 - Eastern,Zone 3 - Est,202404,2024-01-21,2024-01-27,2,1247
Zone 4 - Central,Zone 4 - Centrale,202404,2024-01-21,2024-01-27,2,1269
Region 1,Région de santé publique 1,202404,2024-01-21,2024-01-27,2,1301
Region 2,Région de santé publique 2,202404,2024-01-21,2024-01-27,3,1302
Region 3,Région de santé publique 3,202404,2024-01-21,2024-01-27,3,1303
Region 4,Région de santé publique 4,202404,2024-01-21,2024-01-27,3,1304
Region 5,Région de santé publique 5,202404,2024-01-21,2024-01-27,2,1305
Region 6,Région de santé publique 6,202404,2024-01-21,2024-01-27,2,1306
Region 7,Région de santé publique 7,202404,2024-01-21,2024-01-27,1,1307
Nord-est,Nord-est,202404,2024-01-21,2024-01-27,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202404,2024-01-21,2024-01-27,2,2412
Centre-du-Québec,Centre-du-Québec,202404,2024-01-21,2024-01-27,2,2404
Montréal et Laval,Montréal et Laval,202404,2024-01-21,2024-01-27,2,2413
Ouest-du-Québec,Ouest-du-Québec,202404,2024-01-21,2024-01-27,2,2414
Montérégie,Montérégie,202404,2024-01-21,2024-01-27,2,2416
Central East,Centre-Est,202404,2024-01-21,2024-01-27,3,3570
Central West,Centre-Ouest,202404,2024-01-21,2024-01-27,3,3527
Eastern,Est,202404,2024-01-21,2024-01-27,3,3551
North East,Nord-Est,202404,2024-01-21,2024-01-27,3,3547
North West,Nord-Ouest,202404,2024-01-21,2024-01-27,3,3549
South West,Sud-Ouest,202404,2024-01-21,2024-01-27,3,3531
Toronto,Toronto,202404,2024-01-21,2024-01-27,3,3595
North,Nord,202404,2024-01-21,2024-01-27,1,4708
Central,Centre,202404,2024-01-21,2024-01-27,2,4705
South,Sud,202404,2024-01-21,2024-01-27,2,4701
North Zone,Du nord,202404,2024-01-21,2024-01-27,2,4835
Edmonton,Edmonton,202404,2024-01-21,2024-01-27,2,4834
Central Zone,Centre,202404,2024-01-21,2024-01-27,2,4833
Calgary,Calgary,202404,2024-01-21,2024-01-27,3,4832
South Zone,Du sud,202404,2024-01-21,2024-01-27,2,4831
Interior,Intérieur,202404,2024-01-21,2024-01-27,3,5911
Fraser,Fraser,202404,2024-01-21,2024-01-27,3,5921
Vancouver Coastal,Vancouver Coastal,202404,2024-01-21,2024-01-27,3,5931
Vancouver Island,Île de Vancouver,202404,2024-01-21,2024-01-27,3,5941
Northern,Nord,202404,2024-01-21,2024-01-27,3,5951
Yukon,Yukon,202404,2024-01-21,2024-01-27,2,6001
North,Région nord des TNO,202404,2024-01-21,2024-01-27,1,6101
South,Région sud des TNO,202404,2024-01-21,2024-01-27,2,6103
Qikiqtaaluk,Qikiqtaaluk,202404,2024-01-21,2024-01-27,2,6204
Kivalliq,Kivalliq,202404,2024-01-21,2024-01-27,1,6205
Kitimeot,Kitimeot,202404,2024-01-21,2024-01-27,1,6208
Eastern,Est,202405,2024-01-28,2024-02-03,3,1011
Labrador-Grenfell,Grenfell Labrador,202405,2024-01-28,2024-02-03,3,1014
Central,Centre,202405,2024-01-28,2024-02-03,3,1012
Western,Ouest,202405,2024-01-28,2024-02-03,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202405,2024-01-28,2024-02-03,2,1103
Zone 1 - Western,Zone 1 - Ouest,202405,2024-01-28,2024-02-03,3,1211
Zone 2 - Northern,Zone 2 - Nord,202405,2024-01-28,2024-02-03,3,1234
Zone 3 - Eastern,Zone 3 - Est,202405,2024-01-28,2024-02-03,2,1247
Zone 4 - Central,Zone 4 - Centrale,202405,2024-01-28,2024-02-03,2,1269
Region 1,Région de santé publique 1,202405,2024-01-28,2024-02-03,3,1301
Region 2,Région de santé publique 2,202405,2024-01-28,2024-02-03,3,1302
Region 3,Région de santé publique 3,202405,2024-01-28,2024-02-03,3,1303
Region 4,Région de santé publique 4,202405,2024-01-28,2024-02-03,3,1304
Region 5,Région de santé publique 5,202405,2024-01-28,2024-02-03,2,1305
Region 6,Région de santé publique 6,202405,2024-01-28,2024-02-03,3,1306
Region 7,Région de santé publique 7,202405,2024-01-28,2024-02-03,2,1307
Nord-est,Nord-est,202405,2024-01-28,2024-02-03,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202405,2024-01-28,2024-02-03,2,2412
Centre-du-Québec,Centre-du-Québec,202405,2024-01-28,2024-02-03,2,2404
Montréal et Laval,Montréal et Laval,202405,2024-01-28,2024-02-03,2,2413
Ouest-du-Québec,Ouest-du-Québec,202405,2024-01-28,2024-02-03,2,2414
Montérégie,Montérégie,202405,2024-01-28,2024-02-03,2,2416
Central East,Centre-Est,202405,2024-01-28,2024-02-03,3,3570
Central West,Centre-Ouest,202405,2024-01-28,2024-02-03,3,3527
Eastern,Est,202405,2024-01-28,2024-02-03,3,3551
North East,Nord-Est,202405,2024-01-28,2024-02-03,3,3547
North West,Nord-Ouest,202405,2024-01-28,2024-02-03,3,3549
South West,Sud-Ouest,202405,2024-01-28,2024-02-03,3,3531
Toronto,Toronto,202405,2024-01-28,2024-02-03,3,3595
North,Nord,202405,2024-01-28,2024-02-03,2,4708
Central,Centre,202405,2024-01-28,2024-02-03,2,4705
South,Sud,202405,2024-01-28,2024-02-03,2,4701
North Zone,Du nord,202405,2024-01-28,2024-02-03,2,4835
Edmonton,Edmonton,202405,2024-01-28,2024-02-03,2,4834
Central Zone,Centre,202405,2024-01-28,2024-02-03,2,4833
Calgary,Calgary,202405,2024-01-28,2024-02-03,2,4832
South Zone,Du sud,202405,2024-01-28,2024-02-03,2,4831
Interior,Intérieur,202405,2024-01-28,2024-02-03,4,5911
Fraser,Fraser,202405,2024-01-28,2024-02-03,3,5921
Vancouver Coastal,Vancouver Coastal,202405,2024-01-28,2024-02-03,2,5931
Vancouver Island,Île de Vancouver,202405,2024-01-28,2024-02-03,2,5941
Northern,Nord,202405,2024-01-28,2024-02-03,2,5951
Yukon,Yukon,202405,2024-01-28,2024-02-03,2,6001
North,Région nord des TNO,202405,2024-01-28,2024-02-03,2,6101
South,Région sud des TNO,202405,2024-01-28,2024-02-03,1,6103
Qikiqtaaluk,Qikiqtaaluk,202405,2024-01-28,2024-02-03,1,6204
Kivalliq,Kivalliq,202405,2024-01-28,2024-02-03,2,6205
Kitimeot,Kitimeot,202405,2024-01-28,2024-02-03,1,6208
Eastern,Est,202406,2024-02-04,2024-02-10,3,1011
Labrador-Grenfell,Grenfell Labrador,202406,2024-02-04,2024-02-10,3,1014
Central,Centre,202406,2024-02-04,2024-02-10,2,1012
Western,Ouest,202406,2024-02-04,2024-02-10,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202406,2024-02-04,2024-02-10,2,1103
Zone 1 - Western,Zone 1 - Ouest,202406,2024-02-04,2024-02-10,3,1211
Zone 2 - Northern,Zone 2 - Nord,202406,2024-02-04,2024-02-10,2,1234
Zone 3 - Eastern,Zone 3 - Est,202406,2024-02-04,2024-02-10,2,1247
Zone 4 - Central,Zone 4 - Centrale,202406,2024-02-04,2024-02-10,2,1269
Region 1,Région de santé publique 1,202406,2024-02-04,2024-02-10,3,1301
Region 2,Région de santé publique 2,202406,2024-02-04,2024-02-10,3,1302
Region 3,Région de santé publique 3,202406,2024-02-04,2024-02-10,3,1303
Region 4,Région de santé publique 4,202406,2024-02-04,2024-02-10,2,1304
Region 5,Région de santé publique 5,202406,2024-02-04,2024-02-10,3,1305
Region 6,Région de santé publique 6,202406,2024-02-04,2024-02-10,3,1306
Region 7,Région de santé publique 7,202406,2024-02-04,2024-02-10,2,1307
Nord-est,Nord-est,202406,2024-02-04,2024-02-10,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202406,2024-02-04,2024-02-10,2,2412
Centre-du-Québec,Centre-du-Québec,202406,2024-02-04,2024-02-10,2,2404
Montréal et Laval,Montréal et Laval,202406,2024-02-04,2024-02-10,2,2413
Ouest-du-Québec,Ouest-du-Québec,202406,2024-02-04,2024-02-10,2,2414
Montérégie,Montérégie,202406,2024-02-04,2024-02-10,2,2416
Central East,Centre-Est,202406,2024-02-04,2024-02-10,3,3570
Central West,Centre-Ouest,202406,2024-02-04,2024-02-10,3,3527
Eastern,Est,202406,2024-02-04,2024-02-10,3,3551
North East,Nord-Est,202406,2024-02-04,2024-02-10,3,3547
North West,Nord-Ouest,202406,2024-02-04,2024-02-10,3,3549
South West,Sud-Ouest,202406,2024-02-04,2024-02-10,3,3531
Toronto,Toronto,202406,2024-02-04,2024-02-10,4,3595
North,Nord,202406,2024-02-04,2024-02-10,2,4708
Central,Centre,202406,2024-02-04,2024-02-10,2,4705
South,Sud,202406,2024-02-04,2024-02-10,3,4701
North Zone,Du nord,202406,2024-02-04,2024-02-10,2,4835
Edmonton,Edmonton,202406,2024-02-04,2024-02-10,2,4834
Central Zone,Centre,202406,2024-02-04,2024-02-10,2,4833
Calgary,Calgary,202406,2024-02-04,2024-02-10,2,4832
South Zone,Du sud,202406,2024-02-04,2024-02-10,2,4831
Interior,Intérieur,202406,2024-02-04,2024-02-10,3,5911
Fraser,Fraser,202406,2024-02-04,2024-02-10,2,5921
Vancouver Coastal,Vancouver Coastal,202406,2024-02-04,2024-02-10,4,5931
Vancouver Island,Île de Vancouver,202406,2024-02-04,2024-02-10,2,5941
Northern,Nord,202406,2024-02-04,2024-02-10,2,5951
Yukon,Yukon,202406,2024-02-04,2024-02-10,2,6001
North,Région nord des TNO,202406,2024-02-04,2024-02-10,1,6101
South,Région sud des TNO,202406,2024-02-04,2024-02-10,1,6103
Qikiqtaaluk,Qikiqtaaluk,202406,2024-02-04,2024-02-10,2,6204
Kivalliq,Kivalliq,202406,2024-02-04,2024-02-10,2,6205
Kitimeot,Kitimeot,202406,2024-02-04,2024-02-10,1,6208
Eastern,Est,202407,2024-02-11,2024-02-17,3,1011
Labrador-Grenfell,Grenfell Labrador,202407,2024-02-11,2024-02-17,2,1014
Central,Centre,202407,2024-02-11,2024-02-17,2,1012
Western,Ouest,202407,2024-02-11,2024-02-17,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202407,2024-02-11,2024-02-17,2,1103
Zone 1 - Western,Zone 1 - Ouest,202407,2024-02-11,2024-02-17,2,1211
Zone 2 - Northern,Zone 2 - Nord,202407,2024-02-11,2024-02-17,2,1234
Zone 3 - Eastern,Zone 3 - Est,202407,2024-02-11,2024-02-17,2,1247
Zone 4 - Central,Zone 4 - Centrale,202407,2024-02-11,2024-02-17,3,1269
Region 1,Région de santé publique 1,202407,2024-02-11,2024-02-17,3,1301
Region 2,Région de santé publique 2,202407,2024-02-11,2024-02-17,3,1302
Region 3,Région de santé publique 3,202407,2024-02-11,2024-02-17,3,1303
Region 4,Région de santé publique 4,202407,2024-02-11,2024-02-17,2,1304
Region 5,Région de santé publique 5,202407,2024-02-11,2024-02-17,2,1305
Region 6,Région de santé publique 6,202407,2024-02-11,2024-02-17,3,1306
Region 7,Région de santé publique 7,202407,2024-02-11,2024-02-17,2,1307
Nord-est,Nord-est,202407,2024-02-11,2024-02-17,2,2410
